מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
8-07000,השכרה,,ALUGUEL
8-07100,סוכנות להשכרת מכוניות,,AGÊNCIA DE ALUGUEL DE CARROS
8-07200,מכנסי ג'ינס,,JEANS
8-07300,,,"להתראות אפשר להגיד בהרבה דרכים, תלוי בזמן הפרידה..."
8-07302,להתראות – עד מאוחר יותר,,ATÉ MAIS TARDE
8-07303,להתראות – עד רחוק,,ATÉ LOGO
8-07306,להתראות – עד לשנה הבאה,,ATÉ O PRÓXIMO ANO
8-07400,מיץ,,SUCO
8-07401,,,ומכאן..
8-07402,מיץ תפוזים,,SUCO DE LARANJA
,משקפיים,,COPOS
8-07501,,,או..
8-07502,משקפיים (לפני העיינים),,ÓCULOS
8-07502,משקפי שמש,,ÓCULOS DE SOL
8-07503,,,מאד חשוב – בעיקר לא לאבד !!
8-07600,כרטיס אשראי,,CARTÃO DE CRÉDITO
8-07700,כתובת מייל,,DIREÇÃO DE E-MAIL
8-07701,,,ולשם שינוי – ציווי !
8-07800,אמור לי,,DIGA-ME !
8-07900,שמע אותי,,ME OUÇA !
8-07901,,,ופועל שמחליף לפעמים את TENGO QUE
8-08000,להיות חייב ל....,,PRECISAR
8-08001,,,וההטיות בהווה..
8-08100,"אני חייב, אתה חייב , הוא חייב , אנחנו חייבים, הם חייבים",,"PRECISO, PRECISAS, PRECISA, PRECISAMOS …, PRECISAM"
8-08101,,,ובמשפט..
8-08200,אתה חייב לקנות את זה (חברי),,VOCÊ PRECISA COMPRAR ISSO
8-08602,,,ואם כבר בהעדפות עסקינן..
8-08700,ארצה לראות את זה,,EU GOSTARIA DE VER ISSO
8-08800,הייתי רוצה לעשות הזמנה או...,,EU QUERO FAZER UMA RESERVA
8-08900,,,או...
8-08901,ארצה לעשות הזמנה או...,,EU QUERO FAZER UMA RESERVA
8-09002,,,ופקיד הקבלה ישאל..
8-09100,מה זמן אתה מתכנן להישאר (חושב להישאר)? ,,QUANTO TEMPO PRETENDE (PLANEJA) FICAR SENHOR?
8-09101,,,"או, עם פקיד הקבלה הוא חבר שלנו, הוא ישאל..."
8-09200,מה זמן אתה מתכנן להישאר (חברי)? ,,QUANTO TEMPO PRETENDE (PLANEJA) FICAR SENHOR?
8-09202,,,פועל חדש אך לא פחות חשוב...
8-09300,לשאול,,PREGUNTAR
8-09301,,,משפטים עם הפועל..
8-09500,ארצה לשאול אותך,,QUEREREI TE PERGUNTAR
8-09701,,,בעתיד האמיתי...
8-09800,אני אשאל אותך מאוחר יותר,,QUEREREI TE PERGUNTAR MAIS TARDE
8-09801,,,בעתיד הקרוב..
8-09900,אני הולך לשאול אותך מאוחר יותר,,EU VOU TE PERGUNTAR MAIS TARDE
8-09901,,,"מילת קישור קטנה, אבל חשובה.."
8-10000,"לשם, על מנת",,PARA
8-10001,,,ומשפט מסכם לנושא זה...
8-10100,"אני הולך לקרא לך מאוחר יותר ע""מ לשאול אותך אם אתה יכול לבוא לראות את זה אתנו הלילה",,VOU CHAMAR PARA VOCÊ MAIS TARDE PARA PERGUNTAR SE PODE VIR CONNOSCO ESTA NOITE
8-10101,,,ישנן שלוש אפשרויות לדברים שקורים בעתיד הקרוב...
8-10102,,,הווה..
8-10400,מתי אנחנו מגיעים מחר ?,,A QUE HORAS CHEGAMOS AMANANÃ
8-10401,,,עתיד רגיל...
8-10500,באיזה שעה נגיע מחר ?,,A QUE HORAS CHEGAREMOS AMANHÃ ?
8-10501,,,עתיד קרוב..
8-10600,באיזה שעה אנחנו הולכים להגיע מחר,,A QUE HORAS VAMOS CHEGAR AMANHÃ ?
8-10601,,,"אנחנו הולכים ללמוד עכשיו שתי ""מילות פטנט"" שיעזרו לנו לדבר ב זמן עבר מיידי, בלי להתאמץ במיוחד :"
8-10602,,,מילה ראשונה ...
8-10700,לגמור,,ACABAR
8-10701,,,הטיות הפועל ACABAR - לסיים
8-10702,הטיות הפועל ACABAR - לסיים,,"ACABO , ACABAS, ACABA , ACABAMOS , …, ACABAM"
8-10703,,,"זה אומנם ""לגמור"" אבל בצירוף מילה קצרה (DE) משהו בסגנון JUST…, זה הופך ל.. ACABO DE"
8-10800,בדיוק ראיתי אותו,,ACABO DE VÊ-LO
8-10900,הוא בדיוק עזב,,ACABA DE SAIR
8-11000,בדיוק עזבנו,,ACABAMOS DE SAIR
8-11001,,,מילה שנייה...
8-11100,זה עושה באנגלית - AGO,,ATRÁS
8-11200,בדיוק עזב לפני 10 דקות,,ACABA DE SAIR DEZ MINUTOS ATRÁS
8-11300,בדיוק ראיתי אותו,,ACABO DE VÊ-LO
8-11400,בדיוק הגעתי לכאן לפני יומיים,,ACABEI DE CHEGAR AQUI DOIS DIAS ATRÁS
8-11500,הגעתי לכאן נפני שבועיים,,ACABEI DE CHEGAR AQUI DOS SEMANAS ATRÁS
8-11501,,,בחלק האחרון של השיעור נתרגם משפטים יוםיומיים :
8-11600,אני הולך לסופר לקנות מצרכים לארוחת ערב,,VOU AO SUPERMERCADO COMPRAR MERCADORIAS (INGREDIENTES) PARA O JANTAR
8-11700,היום לא אלך לעבודה כי אני מרגיש לא טוב,,NÃO TRABALHAREI HOJE PORQUE NÃO ME SINTO BEM
8-11800,ביום לא אלך (לר הולך ללכת...) לעבודה כי אני חולה,,NÃO VOU TRABALHAR HOJE PORQUE NÃO ME SINTO BEM
8-11900,אשתי לקחה את הילדים לקולנוע,,MINHA MULHER LEVOU OS FILHOS AO CINEMA
8-12000,החברים שלי הולכים לבקר אותנו בסוף השבוע,,MEUS AMIGOS VÃO NOS VISITAR NO FINAL DA SEMANA
8-12100,כמה זמן אני צריך עוד לחכות ?,,QUANTO TEMPO TENHO QUE ESPERAR MAIS ?
8-12200,אתם באים לראות אותנו מחר ?,,VOCÊ VAI NOS VER AMANHÃ ?
8-12300,הנכדים שלי לא הולכים לבית הספר היום בגלל הקורונה,,MEUS NETOS NÃO VÃO À ESCOLA HOJE DEVIDO AO CORONA
8-12400,אני לא יוצא להליכה כי יורד גשם עכשיו,,NÃO VOU ANDAR PORQUE ESTÁ CHOVENDO AGORA
8-12500,אתמול ירד גשם,,ONTEM TEM CHOVIDO
8-12600,לשכן שלי יש אוטו חדש,,MEU VIZINHO TEM UM CARRO NOVO
8-12700,אני ואשתי מנקים היום את הבית היום,,MINHA ESPOSA E EU LIMPAMOS NOSSA CASA HOJE
8-12800,לא הלכנו הרבה זמן לסרט,,FAZ MUITO TEMPO QUE NÃO VAMOS AO CINEMA
8-12900,מי לוקח היום את הנכדים מהגן ?,,QUEM LEVA OS NETOS AO JARDIM DE INFÂNCIA HOJE ?
8-13000,"איך הילדים היום ? כולם בריאים ?",,"COMO ESTÃO AS CRIANÇAS HOJE ?, TODOS ESTÃO SAUDÁVEIS ?"
8-13100,היום נלך לרקוד סלסה עם חברים במועדון הריקודים,,HOJE VAMOS DANÇAR SALSA COM OS AMIGOS NO DANCE CLUB
8-13200,למרות המגפה נלך כולנו לאכול במסעדה סינית טובה,,"APESAR DA PANDEMIA, VAMOS TODOS JANTAR NUM BOM RESTAURANTE CHINÊS"
8-13300,למה לא קנית לחם וזיתים ?,,PORQUE VOCÊ NÃO COMPROU PÃO E AZEITONAS ?
8-13400,שכחת לקנות חלב ? אז איך נשתה (ניקח) קפה ?,,"VOCÊ ESQUECEU DE COMPRAR LEITE? ENTÃO, COMO VAMOS TOMAR CAFÉ ?"
8-13500,איפה שמת את המשקפיים שלי ?,,ONDE VOCÊ COLOCOU MEUS ÓCULOS ?
8-13501,,,"ולבסוף, בסיום השיעור השמיני אגיד לכם..."
8-13600,מאד נהניתי בחברתכם,,GOSTEI MUITO DA SUA COMPANHIA
