מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
3-03801,פילוסופי,PHILOSOFICAL,FILOSÓFICO
3-03802,,,"שימו לב שבפורטוגזית ה""F"" הוא לא ""PH""...."
3-03802,,,או במין נקבה
3-03803,פילוסופית,,FILOSÓFICA
3-03901,לוגי,LOGICAL,LÓGICO
3-03904,פרקטי,PRACTICAL,PRÁCTICO
3-03905,,,ובמשפט משולב.
3-04000,זה לא לוגי אבל זה מאד פרקטי כך,IT'S NOT LOGICAL BUT IS VERY PRACTICAL THIS WAY,"NÃO É LÓGICO, MAS É MUITO PRÁTICO ASSIM"
3-04100,,,ומילה חיבור קטנה אך מאד, מאד שימושית...
3-04101,ב ....,,NA
3-04200,,,ובמשפט..
3-04201,המצב הפוליטי בפורטוגל,,A SITUAÇÃO POLÍTICA NA .PORTUGAL
3-04301,,,או..
3-04302,המצב הכלכלי בספרד,,A SITUAÇÃO ECONÔMICA
3-04303,,,אחד ממילות החיבור החשובות בכל שפה...
3-04400,וו החיבור,,E
,,,,
3-04402,המצב הפוליטי והכלכלי,,A SITUAÇÃO POLÍTICA E ECONÔMICA
3-04500,בספרד,,NA PORTUGAL
3-04601,במקסיקו,,NO MÉXICO
3-04701,בארגנטינה,,NA ARGENTINA
3-04702,,,"ייקרא ""אָרְגֶ'נְטִינָה"" ..."
3-04702,,,ומה הפירוש של... :
3-04801,איזה רושם יש לך על המצב הפוליטי והכלכלי בספרד עכשיו ?,,QUAL É A SUA IMPRESSÃO DA SITUAÇÃO POLÍTICA E ECONÓMICA NA ESPANHA AGORA?
3-04802,,,ונמשיך..
3-04900,כמה,,QUANTO
3-04901,,,זכרו –   QUANTITY   באנגלית זה כמות – ולא להתבלבל עם   QUANDO   שזה   מתי .
3-04902,,,מילת קישור קטנה וסופר חשובה ...
3-05000,"אם, (גם  - כן)",,SE
3-05002,,,"ונשלב את זה במשפט (הארוך, בסוף..)..."
3-05100,אנא אמור לי כמה זה,,VOCÊ PODE ME DIZER QUANTO É
3-05101,,,המשך טבעי...
3-05200,כי אני צריך את זה,,PORQUĖ EU PRECISO DE ISSO
3-05201,,,ונחבר אליו עוד משפט..
3-05300,ואני רוצה שיהיה לי את זה,,E EU QUERO TER-LO
3-05301,,,"שוב, שימו לב   TER   זה שם הפועל כי הוא מופיע שני, אחרי QUERO, אז המושא   LO   יבוא צמוד אליו, אחריו !! )"
3-05302,,,ועוד משפט אחד....
3-05400,ואני רוצה לקנות אותו,,E QUERO COMPRAR-LO
3-05401,,,והמשפט האחרון – שורת המחץ !!
3-05500,אם זה לא יקר מדי,,SE NÃO É DEMAIS CARO
3-05501,,,ונחבר הכל בעזרת Y  – יוצא לנו משפט ממש ארוך...
3-05600,אנא אמור לי כמה זה   כי אני צריך את זהו אני רוצה שיהיה לי את זה ואני רוצה לקנות אותו אם זה לא יקר מדי,,VOCÊ PODE ME DIZER QUANTO É PORQUE EU LO PRECISO E QUERO TERLO E QUERO COMPRARLO SE NÃO É DEMAIS CARO
3-05601,,,עכשיו עולים כתה....
3-05700,אני ....I AM,,ESTOU
3-05702,,,ובמשפט..
3-05800,אני עסוק,I AM OCCUPIED,ESTOU OCUPADO
3-05801,,,אם הדוברת אישה,
3-05900,אני עסוקה,,ESTOU OCUPADA
3-05901,,,או מילה נפוצה אחרת..
3-06000,עייף,,CANSADO
3-06001,,,אם הדוברת אישה...
3-06002,עייפה,,CANSADA
3-06003,,,"לא להתבלבל עם    CASADO   או    CASADA ,  נשוי, נשואה   שבא מהשורש   CASA   שזה   בית ,  אז   :"
3-06100,נשוי,,CASADO
3-06101,,,אם הדוברת אישה
3-06102,נשואה,,CASADA
3-06103,,,כמו שאומר הפתגם...
3-06200,לפעמים מאד מעייף להיות נשוי,,ÀS VEZES ESTÁ MUITO CANSADO DE ESTAR CASADO
3-06201,,,VEZES  זה פעמים (VEZE = פעם)  ÀS VEZES   = לפעמים
3-06202,,,ונחזור לשימוש של I AM (ESTOU)
3-06300,אני עייף,,ESTOU CANSADO
3-06301,,,אם הדוברת אישה
3-06400,אני עייפה,,ESTOU CANSADA
3-06600,אני לא עייף מדי  היום,,NÃO ESTOU DEMAIS CANSADO HOJE
3-06700,,,נמשיך עם הפועל הזה..
3-06701,אתה..YOU ARE,,ESTÁS
3-06702,,,ובמשפט
3-06800,אתה עסוק,,ESTÁS OCUPADO
3-06801,,,ובשאלה..
3-06900,את עסוקה כרגע ?,,AGORA ESTÁ OCUPADA ?
3-06901,,,"אבל שימו לב ל ""ESTA"" - ללא דגש זה ""זה"" - נתרגל...."
3-07000,הלילה הזה,,ESTA NOITE
3-07100,הבית הזה,,ESTA CASA
3-07200,השולחן הזה,,ESTA MESA
3-07201,,,אבל נחזור ל YOU ARE - ESTÁS
3-07300,איפה אתה עכשיו?,,ONDE ESTÁS AGORA  ?
3-07301,,,"מילת קישור חשובה נוספת, משמשת בד""כ לשאלות מנדנדות.."
3-07400,איך,,COMO
3-07401,,,שאלה נפוצה – מה נשמע ?
3-07500,איך אתה (מרגיש) ?,,COMO ESTÁS ?
3-07601,,,"ואיך נשאל ""מה נשמע"" בסלנג יום-יומי ?"
3-07700,מה שלומך . (בסלננג),,COMO VAI ?
3-07701,,,ואם נפגוש מישהו נגיד...
3-07800,שלום (ימים טובים) – איך אתה ?,,"BOM DIA, COMO ESTÁS ?"
3-07801,,,"והיות ואנחנו לא רוצים להפריע, נשאל..."
3-07900,אתה עסוק כרגע ?,,VOCÊ ESTÁS OCUPADO AGORA ?
3-07901,,,או אם זו אשה...
3-07902,את עסוקה כרגע ?,,VOCÊ ESTÁS OCUPADA AGORA ?
3-07903,,,או..
3-08000,האם אתה עייף עכשיו?,,VOCÊ ESTÁS CANSADO AGORA ?
3-08001,,,או אם זו אשה...
3-08002,האם את עייפה עכשיו?,,VOCÊ ESTÁS CANSADO AGORA ?
3-08003,,,"תזכורת - שם הפועל לנ""ל הוא..."
3-08100,להיות,,ESTAR
3-08101,,,עכשיו נלמד משהו חשוב מאד – נשתמש בו הרבה ביום-יום
3-08102,,,נחזור זמן עתיד קרוב  ...
3-08103,,,מבוסס על פועל (העזר במקרה זה) – ללכת – IR – כמו באנגלית I - I AM GOING TO וגוף ראשון הווה יהיה...
3-08202,,,"השימוש הנרחב ביותר של הפועל הזה הוא כפועל ראשון בין שניים – כמו למשל - אני הולך לעשות שמח, אני הולך לאכול וכו'  –"
3-08300,,,"אחרי הפועל הזה נראה תמיד את התוספת    A   שנותן כיוון, כמו ווקטור -      אל .... או ל..... – התצורה תהיה אם כן   :"
3-08301,אני הולך ל....,,VOU A …
3-08304,,,"הזמן הזה נקרא ""עתיד קרוב"" כי הפעולה עומדת לקרות בעתיד הממש קרוב -   AM GOING TO EAT NOW"
3-08305,,,נראה משפטים עם הנ""ל...
3-08400,אני הולך לאכול עכשיו,,VOU A COMER AGORA
3-08500,אני הולך לקנות אותו,,VOU A COMPRAR-LO
3-08501,,,"אני מזכיר שהמושא LO ""נצמד"" לאחוריו שך שם הפועל  COMPRAR כשהפועל הוא שני ומעלה"
3-08502,,,או במשפט מורכב יותר...
3-08600,אני לא הולך לקנות את זה כי זה מאד יקר,,NÃO VOU A COMPRAR-LO PORQUE É MUITO CARO
3-08601,,,או..
3-08700,אני הולך להגיד לך,,EU VOU A DIZER-TE
3-08701,,,"אני מזכיר שהמושא TE ""נצמד"" לאחוריו של שם הפועל DIZER    כי הוא מופיע כפועל שני (ראשון זה VOU )"
3-08801,,,ועכשיו למשהו אחר...
3-08900,מאוחר,,TARDE
3-08901,,,לכן...
3-08902,מכאן....צהריים,,TARDES
3-09000,מאוחר מאד,,MUITO TARDE
3-09001,,,או, אם נגיד את זה ממשפט קצר...
3-09100,זה מאד מאוחר,,É MUITO TARDE
3-09200,יותר מאוחר,,MAIS TARDE
3-09201,,,"כש-MAS זה יותר , כמו בביטוי ""פחות או יותר"" שזה"
3-09205,,,ולסיכום הפרק הזה...
3-09300,אני הולך להיות כאן מאוחר יותר,,VOU A ESTAE AQUI MAIS TARDE
3-09301,,,נעשה חזרה קצרה :
3-09302,,,"אני הולך ל .....  VOU A    השימוש הרגיל, ללכת ממש... :"
3-09400,אני הולך לליסבון,,VOU A LISBOA
3-09401,,,אבל אם בכ""ז נרצה עם זה משפט בעתיד קרוב, נגיד..
3-09500,אני הולך לעשות את זה,,VOU A FAZERLO
3-09501,,,דוגמא לשימוש בנ""ל – האישה המודאגת אומרת לבעלה :
3-09600,אתה חייב ללכת לרופא,,VOCÊ TEM QUE IR AO MÉDICO
3-09601,,,ודחיין עונה...
3-09700,אעשה זאת מחר,,VOU A FAZERLO AMANHÃ
3-09701,,,או תירוץ אחר...
3-09800,לא אעשה זאת עכשיו כי אני הולך להיות מאד עסוק היום,,NÃO VOU A FAZER ISSO AGORA PORQUE ESTOU MUITO OCUPADO HOJE
3-09900,,,"יש הרבה פעלים המתחילים ב ""ש"" כמו..."
3-10000,לקרא (למישהו),,CHAMAR
3-10001,,,ייקרא שָאמָר   – גם לקרא למישהו וגם לצלצל
3-10100,לבכות,,CHORAR
3-10000,,,ייקרא שוֹרָר
3-10300,להגיע,,CHEGAR
3-10301,,,ייקרא שֶגָר
3-10302,,,נחזור ל   CHAMAR   משמש גם לקרא בשם :
3-10400,קוראים לי טומי,,ME CHAMO TOMMY
3-10500,איך קוראים לך ? (חברי),,COMO TE CHAMAS ?
3-10501,,,או..
3-10502,מה שמך ?,,QUAL É O SEU NOME ?
3-10700,איך קוראים לו?,,COMO SE CHAMA ELE ?
3-10701,איך קוראים לה?,,COMO SE CHAMA ELA ?
3-10702,,,"וגם במובןTO CALL   (מתאים גם ל""לטלפן"")  :"
3-10703,,,נשלב את זה עם מה שלמדנו קורם..
3-10800,אני הולך לקרא לך מאוחר יותר,,VOU A CHAMAR PARA VOCÊ MAIS TARDE
3-10802,,,או בשאלה...
3-10803,,,VOCÊ PODE CHAMAR-ME MAIS TARDE ?
3-10804,,,או..
3-10900,אתה יכול להתקשר אלי מאוחר יותר ?,,VOCÊ PODE ME LIGAR MAIS TARDE ?
3-10901,,,ושאלה מתבקשת...
3-11000,באיזו שעה?,,A QUE HORAS ?
3-11001,,,וביתר פירוט..
3-11100,באיזו שעה אתה יכול להתקשר אלי?,,A QUE HORAS VOCÊ PODE ME LIGAR ?
3-11101,,,ובעתיד קרוב..
3-11200,אני הולך לקרוא לך(גם לצלצל לך),,VOU CHAMÁ-TE
3-11201,,,וגוף שני..
3-11300,אתה הולך לקרא לי,,VAI A CHAMAR-ME
3-11302,,,"ואמרנו שלפועל הזה תמיד מוסיפים A לכיוון, ונקבל.."
3-11400,אתה הולך ל....,,VAI A
3-11402,,,"דוגמאות עם הנ""ל.."
3-11500,באיזו שעה אתה (אדוני) הולך להתקשר אלי ?,,A QUE HORAS VOCÊ VAI A LIGAR-ME ?
3-11501,,,או..
3-11502,באיזו שעה אתה (אדוני) יכול להתקשר אלי ?,,QUE HORAS PODE ME LIGAR ?
3-11600,באיזו שעה אתה הולך להיות כאן הלילה ?,,A QUE HORAS VOCÊ VAI A ESTAR AQUI  ESTA NOITE ? ,
3-11601,,,או שאלה אינפורמטיבית נדרשת..
3-11700,איפה תהיה מאוחר יותר ?,,ONDE VAI A ESTAR MAIS TARDE ?
3-11701,,,ההטיות של הפועל IR
3-11702,"אני הולך , אתה  הולך , הוא הולך , אנחנו הולכים,.., הם הולכים",,"VOU , VAIS , VAI , VAMOS , …, VÃO"
3-11703,,,עוד דוגמאות...,
3-11900,אתה הולך לעשות את זה,,VAIS A FAZER ISSO
3-12000,הוא הולך לעשות את זה,,VAI A FAZER ISSO
3-12100,מתי תעשה את זה ?,,QUANDO VOCÊ VAIS A FAZER ISSO ?
3-12101,,,"ויותר מדוייק, עם ציון הגוף שהוא נושא השאלה ..."
3-12200,מתי הוא הולך לעשות את זה?,,QUANDO ELE VAI A FAZER ISSO ?
3-12201,מתי היא הולכת לעשות את זה?,,QUANDO ELA VAI A FAZER ISSO?
3-12202,,,ולנושא אחר – התעניינות במיקום...
3-12203,איפה אתה ? (חברי),,ONDE ESTÁS ?
3-12600,איפה הוא ?,,ONDE ELE ESTÁ
3-12700,איפה היא ?,,ONDE ELA ESTÁ ?
3-12801,,,והתשובה לא אחרה לבוא..
3-12900,הוא יהיה כאן תכף,,VAI A ESTAR AQUI EM BREVE
3-13000,הוא יהיה כאן תכף,,EL VAI A ESTAR AQUI EM BREVE
3-13001,,,ועכשיו משהו אחר – רצונות...
3-13100,מה אתה רוצה  ?,,QUE QUERES ?
3-13101,,,או פנייה מנומסת :
3-13200,מה אתה רוצה אדוני ?,,QUE VOCÊ QUER ?
3-13201,,,"או בצורה מפורשת, שאלה אליך או אליו/אליה ממש.."
3-13200,מה רוצה  ? (חבר),,QUE TU QUERES ?
3-13400,מה הוא רוצה  ?,,QUE ELE QUER ?
3-13500,מה היא רוצה  ?,,QUE ELA QUER ?
3-13501,,,ולא פעם שאלנו מישהו מצוברח..
3-13502,,,הטיות הפועל TER = TO HAVE בהווה
3-13503,הטיות הפועל TER,,"TENHO , TENS , TEM , TEMOS , T Ê M"
3-13600,מה יש לך?,,QUE TENS ?
3-13601,,,או בנימוס..
3-13700,מה יש לו אדוני ?,,QUE VOCÊ TEM  ?
3-13701,,,נחזור לעממיקו...
3-13900,מה יש לו ?,,QUE ELE TEM ?
3-14000,מה יש לה ?,,QUE ELA TEM ?
3-14001,,,ועכשיו לנושא אחר – מוכנות ופקחות...
3-14100,מוכן,,PRONTO
3-14101,,,השימוש הטבעי...
3-14200,אני מוכן,,ESTOU PRONTO
3-14201,,,אישה תאמר..
3-14202,אני מוכנה,,ESTOU PRONTA
,,,או בשאלה
3-14400,את מוכנה ?,,ESTÁS PRONTA ?
3-14401,,,או גבר..
3-14500,אתה מוכן ?,,ESTÁS PRONTO ?
3-14501,,,נרחיב את המשפט – שימוש עם עתיד קרוב..
3-14600,באיזה שעה  תהיה מוכן ? (חברי),,QUANDO VAIS A ESTAR PRONTO ?
3-14601,,,או לגוף שלישי ..
3-14700,מתי תהיה מוכנה ?,,A QUE HORAS VAIS  A ESTAR PRONTA ?
3-14701,,,אפשר להגיד גם..
3-14800,מתי  הוא יהיה מוכן ?,,QUANDO VAIS  A ESTAR PRONTA ?
3-14801,,,ומשפט ממש ארוך (22 מילים !!)...
3-14900,אני רוצה לדעת באיזה שעה זה יהיה מוכן כי אני צריך את זה ואני חייב את זה היום אם זה אפשרי,,QUERO SABER QUANDO ESTÁ PRONTO PORQUE EU PRECISO E TENHO QUE TER HOJE SE É POSSÍVEL
3-14901,,,ויותר פשוט, נשאל ישירות..
3-15000,תאמר לי מתי זה יהיה מוכן,,VOCÊ PODE ME DIZER QUANDO VAI A ESTAR PRONTO
3-15001,,,או ...,
3-15100,"תאמר לי, בבקשה, מתי זה יהיה מוכן",,POR FAVOR ME DIZES QUANDO VAI A ESTAR PRONTO
3-15102,,,מילה חדשה ושימושית..
3-15200,הכל,,TUDO
3-15300,הכל יהיה מוכן עבורך היום,,TUDO VAI A ESTAR PRONTO PARA VOCÊ HOJE
3-15301,,,מילה חדשה נוספת, לא פחות שימושית !!
,כלום,,NADA
3-15500,"כלום לא יהיה מוכן עבורך היום, אבל הכל יהיה מוכן מחר",,"NADA VAI A ESTAR PRONTO PARA VOCÊ HOJE, MAS TUDO VAI A ESTAR PRONTO AMANHÃ"
3-15501,,,נחזור..
3-15600,אני מוכן,,ESTOU PRONTO
3-15700,אני מוכנה,,ESTOU PRONTA
3-15701,,,או בנימוס..
3-15702,"אתה מוכן, אדוני",,"VOCÊ ESTÁ PRONTO, SENHOR?"
3-15801,,,"או, אם רוצים להיות יותר ""ספציפיים""..."
3-15900,הוא מוכן,,ELE ESTÁ PRONTO
3-16000,היא מוכנה,,ELA ESTÁ PRONTA
3-16100,הכל מוכן,,TUDO ESTÁ PRONTO
,,,ההטיות בהווה של הפועל
3-17400,הטיות הווה של הפועל  ,SER ,,"SOU, ÉS, É, SOMOS, …, SÃO"
3-17505,,,ועניין אחר...
3-17506,,,הפועל   SABER     בגוף ראשון יחיד הוא...
3-18000,אני יודע -  יוצא מן הכלל,,SEI
3-18001,,,ובמשפט..
3-18100,אני לא יודע איפה הוא,,NÃO SEI ONDE ESTÁ ELE
