מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
2-06701,,,"שימו לב שצורת הדיבור הזו   PODE FAZER   היא פנייה מנומסת, משמעותה  – ""האם תוכל בבקשה לעשות"""
2-06702,,,ועתה - מילים חשובות להתנהלות במחרב הזמן..
2-06900,היום,,HOJE
2-06901,,,לא מבטאים את ה   H
2-06902,מחר,,AMANHÃ
2-06903,אתמול,,ONTEM
2-06904,מחרתיים,,O DIA DESPOIS DE AMANHÃ
2-06905,שלשום,,ANTEONTEM
2-06906,,,"וניזכר שוב – המושאים אחרי הפועל השני והלאה נמצאים אחריהם ו""דבוקים"" להם.."
2-07000,לעשות אותו,,FAZER ISTO
2-07001,לעשות אותה,,FAZER-LA
2-07100,תוכל לעשות זאת עבורי בבקשה,,VOCÊ PODE FAZER-LA PARA MIM POR FAVOR
2-07102,תוכל לעשות תרגום עבורי בבקשה,,VOCÊ PODE FAZER UMA TRADUÇÃO PARA MIM
2-07400,,,יוצא מן הכלל שני – תרגום – באנגלית   EXPLANATION    ובפורטוגזית לא   EXPLANAÇÃO   אלא :
2-07401,הסבר,,EXPLICAÇÃO
2-07402,,,"ניזכר במילה האנגלית     EXPLICIT    שמובנה – מפורש, מוסבר "
2-07403,,,ונשלב נתינה...
2-07500,לתת,,DAR
2-07501,,,ובמשפט..
2-07600,תן בבקשה הסבר,,PODE DAR UMA EXPLICAÇÃO
2-07601,,,ובשאלה :
2-07700,האם תוכל לתת הסבר ?,,PODE DAR UMA EXPLICAÇÃO ?
2-07701,,,ואם נמקד את זה, נציין שההסבר בשבילי ?
2-07800,תוכל לתת לי הסבר ?,,VOCÊ PODE DARME UMA EXPLICAÇÃO ?
2-08106,,,או..
2-08107,איזה רושם יש לך מהמצב ?,,QUAL É A SUA IMPRESSÃO DA SITUAÇÃO ?
2-08108,,,עוד דוגמאות מוכרות..
2-08200,ככה,,ASSIM
2-08300,כאן,,AQUI
2-08302,,,ונמשיך ..
2-08400,תואיל בטובך לעשות הזמנה עבורי,,VOCÊ PODE FAZER UMA RESERVA PARA MIM
2-08401,,,או בשאלה
2-08500,האם תוכל לעשות הזמנה עבורי ?,,VOCÊ PODE FAZER UMA RESERVA PARA MIM ?
2-08501,,,או שנשאל בהתרסה...
2-08600,למה אינך יכול לעשות הזמנה עבורי ?,,POR QUE VOCÊ NÃO PODE FAZER UMA RESERVA PARA MIM?
2-08601,,,"והיות ודיברנו על ההזמנה (RESERVA), בפעם הבאה אפשר להחליף אותה במושא "" LA"""
2-08700,למה אתה לא יכול לעשות את זה עבורי  ?,,POR QUE VOCÊ NÃO PODE FAZER-LA PARA MIM ?
2-08800,,,ניזכר -  לדעת  .....    SABER   לראות  ...... VER   – ונשלב אותם..
2-08801,אני רוצה לדעת את זה,,QUERO SABE-LO
2-08900,אני רוצה לראות את זה,,QUERO VÊ-LO
2-08901,,,"תזכורת לנ""ל - אם הפעלים מופיעים שניים, מצמידים את המושא בסוף של שם הפועל.."
2-08902,,,דוגמאות נוספות...
2-09300,אני רוצה לראות אותם,,QUERO VÊ-LOS
2-09301,אני רוצה לראות אותן,,QUERO VÊ-LAS
2-09400,אני רוצה לראות את זה/אותו,,QUERO VÊ-LO
2-09500,אני רוצה לראות אותך,,QUERO VÊ-TE
2-09600,לראות אותי,,QUERO VÊ-ME
2-10100,,,ונתקדם...
2-10101,להבין,COMPREHEND,COMPREENDER
2-10102,,,"וכמו שכבר ראינו, גם כאן, אם זה מופיע באמצע המשפט, אחרי פועל אחר, המושא צמוד לשם הפועל מאחוריו..."
2-10200,להבין את זה,,COMPREENDER-LO
2-10300,להבין אותך,,COMPREENDER-LE
2-10400,להבין אותם,,COMPREENDER-LOS
2-10500,ולהבין אותן,,COMPREENDER-LAS
2-10600,להבין אותי,,COMPREENDER-ME
2-10601,,,ובמשפט שאלה
2-10700,אתה יכול להבין אותי?,,PODE COMPREENDER-ME?
2-10701,,,אבל אם הוא פועל בודד הוא מקבל הטייה והמושא בא לפניו
2-10800,אתה מבין את זה ?,,ENTENDE ISSO ?
2-10801,,,אבל..
2-10900,למה אתה לא יכול להבין אותי ?,,POR QUE ELE NÃO PODE ME ENTENDER ?
2-11001,,,"דוגמאות לנ""ל עם הפועל   DIZER"
2-11002,להגיד לו,,DIZER-LO
2-11100,להגיד לך,,DIZER-TE
2-11200,להגיד לי,,DIZER-ME
2-11300,אנא תאמר לי,,PODE DIZER-ME
2-11301,,,או בשאלה ....
2-11400,האם תוכל לומר לי ?,,VOCÊ PODE DIZER-ME ?
2-11500,למה אתה לא יכול להגיד לי עכשיו ?,,POR QUE VOCÊ NÃO PODE   DIZERME AGORA ?
2-11501,,,ומשפט נוסף..
2-11600,אני רוצה לדעת את זה,,QUERO SABER-LO
2-11601,,,"פועל מאד, מאד חשוב לתיירים.."
2-11700,לקנות,,COMPRAR
2-11701,,,ובמשפט..
2-11800,אני רוצה לקנות משהו כאן,,QUERO COMPRAR ALGO AQUI
2-11801,,,ואנחנו נשאל..
2-11900,מה את רוצה לקנות כאן ?,,QUE VOCÊ QUER COMPRAR AQUI ?
2-11901,,,"כמו שאמרנו, עם אותו הפועל מופיע שני מצמידים את המושא מאחוריו.."
2-12000,ולמה אתה לא רוצה לקנות את זה ?,,E POR QUE VOCÊ NÃO QUER COMPRAR-LO
2-12001,,,כשכל המשתתפים בשיחה יודעים על איזה פריט מדובר...
