מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
1-01200,,,להלן הקבוצות : (הקבוצות יאופיינו בסיומות המילים)
1-01201,,,"הקבוצה מס 1  –  מילים באנגלית שמסתיימות ב   IBLE   כמו   POSSIBLE  או  ABLE   כמו   PROBABLE   הם זהות בפורטוגזית, רק הן נבדלות בהיגוי"
1-01202,,,ההבדל העיקרי הוא בביטוי...
1-01203,ההיגוי,THE PRONUNCIATON,A PRONUNCIAÇÃO
1-01301,יש הבדל היגוי,YOU HAVE DIFFERENCE IN PRONUNCIATION ,HÁ DIFERENÇA NA PRONÚNCIA
1-01302,,,"שתי סיבות עיקריות להבדלים בביטוי : 1 – מקום ההטעמה (מס' ההברה) – נתעסק בה בהמשך. 2- צורת ביטוי של תנועות (VOCALS) – הרשימה נמצאת בראש העמוד הראשון"
1-01303,,,"ההבדל השני, כפי שאמרתי, הוא בצורת ביטוי התנועות (5 תנועות סה""כ) I יבוטא תמיד אִי כמו ב EVEN , A יבוטא א ָ ה כמו ב UNSEEN , O יבוטא אוֹ כמו ב OBEY , U יבוטא אוּ ּ כמו ב COOL ,E יבוטא אֶה כמו ב END"
1-01401,,,"הביטוי   זה   בעברית או   IT IS  באנגלית ,   מיתרגם ל :"
1-01402,זה  IT IS  ,É,É
1-01501,זה אפשרי,IT IS POSSIBLE,É POSSÍVEL
1-01601,זה וייתכן,IT IS PROBABLE,É PROVÁVEL
1-01701,זה נורא,IT IS TERRIBLE,É TERRÍVEL
1-01801,זה מקובל,IT IS ACCEPTABLE,É ACEITÁVEL
1-01802,,,"שימו לב, כותבים עם C אחד וגם שומעים  C אחד   -  אָסֶיטָבֶאוּ"
1-01900,,,וקצת דומה...
1-01901,עבורי,FOR  ME,PARA MIM
1-02001,עבורך   (מנומס),FOR YOU   ,PARA VOCÊ
1-02100,,,במשפטי שלילה מוסיפים   NÃO   שתמיד יופיע תמיד ראשון במשפט
1-02101,"זה לא בשבילך, זה בשבילי",,"NÃO É PARA VOCÊ, É PARA MIM"
1-02200,,,"הערה – כמה משפטים יכולים להיות מחוברים ב "","" או במילות חיבור – הכלל הנ""ל תופס לגבי כל משפט כזה בנפרד – לדוגמה..."
1-02201,"זה לא בשבילי, זה לא בשבילך, זה בשבילם",,"NÃO É PARA MIM, NÃO É PARA VOCÊ, É PARA ELES"
1-02300,,,הוא / היא
1-02301,"הוא, היא",,"ELE, ELA"
1-02400,,,הם / הן
1-02401,"הם, הן",,"ELLOS , ELLAS"
1-02402,,,"שימו לב , רמז לבאות – ברבים פשוט מוסיפים S"""" ליחיד..."
1-02500,זה לא אפשרי עבורי,IT   IS NOT POSSIBLE FOR ME,NÃO É POSIVEL PARA MIM
1-02501,,,ואם זה נאמר עליך...
1-02600,זה אפשרי עבורך (מנומס),,É POSIVEL PARA VOCÊ
1-02700,,,ומילה אחרת שלמדנו..
1-02701,זה מקובל עלי,,É ACEITÁVEL PARA MIM
1-02800,,,או בשלילה
1-02801,זה לא מקובל עלי,,NÃO É ACEITÁVEL PARA MIM
1-02900,,,"אם אתם רוצים   לשאול שאלה   בפורטוגזית, זה מאד פשוט – זה עניין של    אינטונציה בלבד   – משפט  רגיל , למשל..."
1-02901,זה מקובל עליכם,,É ACEITÁVEL PARA VOCÊ
1-03000,,,ובשאלה :
1-03001,האם זה מקובל עליך?,,É ACEITÁVEL PARA VOCÊ ?
1-03100,,,בשלילה   ושאלה..
1-03101,,,NÃO É ACEITÁVEL PARA VOCÊ ?
1-03201,,,"שימו לב – כמעט ואין K בפורטוגזית רק למילים בודדות , זרות, כמו KILO – כשנשמע K זה ייכתב QU"
1-03202,למה,,POR QUE
1-03203,,,ונשתמש במשפט..
1-03300,למה זה לא מקובל עליך ?,,POR QUE NÃO É ACEITÁVEL PARA VOCÊ ?
1-03400,,,מילה קטנה אבל מאד שימושית בפורטוגזית היא :
1-03401,"כך, בדרך זו",,ASSIM
1-03403,,,"ואם נרצה לשלב את המילה במשפט הכי פשוט – זה ככה או באנגלית   IT IS LIKE THAT   – שימו  לב – בעברית זה ""זה"" ובאנגלית, כמו בפורטוגזית יש פועל, זה IT IS"
1-03500,זה כך,,É ASSIM
1-03501,,,ובשלילה
1-03600,זה לא כך,,NÃO É ASSIM
1-03601,,,קצת הרחבה...
1-03700,זה בלתי אפשרי כך,,NÃO É POSSÍVEL ASSIM
1-03703,,,ונרחיב את יריעה..
1-03800,זה לא מקובל עלי כך,,NÃO É ACEITÁVEL PARA MIM ASSIM
1-03801,,,ואם בשאלות עסקינן...
1-03900,למה זה לא מקובל עליך כך ?,,POR QUE NÃO É ACEITÁVEL PARA VOCÊ ASSIM ?
1-04000,,,"ביטוי שכדאי שתפנימו היטב, זה עוזר לצאת ממצבים מביכים .. :"
1-04001,אני מצטער,,SINTO MUITO
1-04002,,,"המילה SINTO   אומר   אני מרגיש ,  ובהדגשה יתרה EU SINTO   , כלומר אני מרגיש כשהאני מודגש ע""מ לחזק – נראה שבד""כ פעלים שנגמרים ב    O    - אבל השילוב  SINTO MUITO  הוא ביטוי שמשמעותו – אני מצטער – איך זה נהיה ""אני מצטער"" אין לי מושג..."
1-04100,,,ומילה קטנה שבאה להציל את כבודנו הלאומי...
1-04101,אבל,,MAS
1-04103,,,"אם נצטרך להגיד ""סליחה"" תמיד נוכל לתרץ את הפאשלה ב ""אבל"" וההסבר שיבוא אחריו .."
1-04204,"אני מצטער, אבל",,SINTO MUITO MAS…
1-04205,,,"בהזדמנות זו אני מזכיר לכם לא לשכוח – להשתמש בשיטת ה-LEGO ע""מ להרכיב משפטים ארוכים"
1-04206,,,לדוגמא...
1-04301,אני מצטער אבל זה לא מקובל עלי כך,,"SINTO MUINTO, MAS NÃO É ACEITÁVEL PARA MIM ASSIM"
1-04302,,,או...
1-04400,אני מצטער אבל זה בלתי אפשרי כך,,"DESCULPE, MAS NÃO É POSSÍVEL ASSIM"
1-04401,,,"אופס..,שכחתי..מילה נוספת לאני מצטער זה ..."
1-04402,אני מצטער,,DESCULPE
1-04403,,,ובמשפט...
1-04404,אני מצטער אבל זה בלתי אפשרי כך,,,"DESCULPE, MAS NÃO É POSSÍVEL ASSIM"
1-04405,,,מילה נוספת שימושית מאד :
1-04500,עכשיו,,AGORA
1-04600,,,"הקבוצה מס 2  –   מילים באנגלית שמסתיימות  ב  ENT   או   ANT   זהות כמעט לגמרי בפורטוגזית, יקבלו   ENTE  ו  ANTE   – למשל :"
1-04602,שונה,DIFFERENT,DIFERENTE
1-04603,,,"ייקרא – ""דִיפֶרֶנְצִ'י"""
1-04701,חשוב,IMPORTANT,IMPORTANTE
1-04702,,,"ייקרא – ""אִימְפּוֹרְטַנְצִ'י"""
1-04801,מסעדה,RESTAURANT,RESTAURANTE
,,,"ייקרא – ""רֶסְטָאוּרַנְצִ'י"""
1-04802,,,שימו לב שבאנגלית  AU  ייקרא אוֹ ובפורטוגזית קוראים כל אות כמו שצריך
1-04803,,,עוד משפטים..
1-04900,זה חשוב לי,,É IMPORTANTE PARA MIM
1-04901,,,או במשפט אחר :
1-05000,זה לא שונה בדרך זו,,NÃO É DIFERENTE ASSIM
1-05001,,,ועכשיו למשהו טוב...
1-05100,"טוב, טובה ...טוב",,"BOM, BOA, BIEN"
1-05103,,,זה טוב מאד יהיה...
1-05104,זה טוב מאד,,É MUITO BOM
1-05105,,,בתיאור נקבי..
1-05106,זאת טובה מאד,,É MUITO BOA
1-05107,,,ובשלילה...
1-05108,ספר טוב,,NÃO É MUITO BOM
1-05109,,,ושימוש כתואר הפועל...
1-05110,אני לא מרגיש טוב,,NÃO ME SIENTO BIEN
1-05501,,,ובתיאור תכונה אחרת ..
1-05600,זה לא מאד שונה כך,,NÃO É MUITO DIFERENTE ASSIM
1-05601,,,ובמשפט קצת יותר מורכב..
1-05601,אבל זה מאד חשוב לי,,MAS É MUITO IMPORTANTE PARA MIM
1-O5702,,,"זיכרו – לפעמים יש תועלת בתרגום מקדמי לאנגלית ומשם לפורטוגזית  :  BUT IT IS VERY IMPORTANT FOR ME      כי בעברית מופיע ""זה"" במקום פועל   É"
1-05800,,,"כל שפה מאפשרת הדגשה של הברה אחת בלבד לכל מילה – איפה שמים את ההדגשה הזו ? בפורטוגזית, הנה כלל ראשון :"
1-05801,,,כלל הדגשה ראשון :
1-05802,,,"אם מילה מסתיימת בהברה פתוחה (תנועה) , ההדגשה תהיה תמיד על ההברה הלפני אחרונה – כמו בדוגמאות הבאות :"
1-05803,חשוב,,IMPORTANTE
1-05900,מסעדה,,RESTAURANTE
1-06000,שונה,,DIFERENTE
1-06100,,,ועכשיו נתעסק באחד הפעלים השימושיים ביותר..
1-06101,יש לי,,TENHO
1-06103,,,"האות    O   בסוף הפועל אומר שזה הווה, גוף ראשון, יחיד – יש לי  ( I HAVE )  כך שבפורטוגזית אין צורך להגיד   EU TENHO   אלא אם זה בא לצרכי הדגשת יתר !!"
1-06104,,,"אותו –O  מושא (אותהA   , אותך  , אותך    TE ( סחבקי ) , אותן AS ,אותם OS)  – נשתמש במושאים אלה רק כאשר ברור למה הכוונה כי דובר על זה קודם"
1-06106,,,"רק להדגשה, אם שואלים ""למי יש את זה"" ?  נענה :"
1-06107,יש לי את זה,,EU O TENHO
1-06108,,,"שם הגוף,  ה- EU (אני) זה רק לצורך הדגשה כי סיומת O אומר גוף ראשון הווה"
1-06109,,,ובשלילה..
1-06200,אין לי,,NÃO TENHO
1-06201,,,ואם יודעים בדיוק על מה מדובר..
1-06300,אין לי אותו,,NÃO O TENHO
1-06400,,,כנ""ל אם האוביאקט שהזכרנו הוא ממין בנקבה ...
1-06401,אין לי אותה,,NÃO A TENHO
1-06402,,,ואם גם רוצים להתנצל על כך....
1-06500,אני מצטער אבל אין לי אותו,,"DESCULPE, MAS NÃO O TENHO"
1-06501,,,ולמילה אחרת בעלת שימוש רחב...
1-06600,אני רוצה,,QUERO
1-06601,,,"תזכורת - השילוב של   אותיות   QU  נותן  K   (בפורטוגזית עתיקה, בלדינו למשל, אין את האות   Q   אלא   K )  - שוב הדגש הוא על ההברה הלפני אחרונה   QUERO"
1-06700,אני רוצה את זה,,O QUERO
1-06701,,,ולגבי נקבה..
1-06702,,,A QUERO
1-06800,,,ובמשפט..
1-06801,אני לא רוצה אותה ככה,,EU NÃO A QUERO ASSIM
1-06802,,,"ואם אני לא רק רוצה את זה אלא צריך את זה, נגיד.."
1-06900,אני צריך אותו,,O PRECISO
1-07000,אני לא צריך אותו,,NÃO O PRECISO
1-07001,,,למדנו קודם ש..
1-07100,עכשיו,,AGORA
1-07101,,,ובמשפט שלם...
1-07200,אני רוצה את זה אבל אני לא זקוק לזה עכשיו,,"EU  O QUERO, MAS NÃO O PRECISO AGORA"
1-07201,,,או בהתנצלות...
1-07300,"אני מצטער, אבל אני לא זקוק לזה עכשיו",,"LAMENTO, MAS EU NÃO PRECISO DISSO"
1-07301,,,"אופס.. מילה נוספת ל ""אני מצטער"" היא..."
1-07302,אני מצטטער,,LAMENTO
1-07400,,,ועוד דוגמאות...
1-07401,קבוע,CONSTANT,CONSTANTE
1-07500,ברור מאליו,EVIDENT,EVIDENTE
1-07600,דחוף,URGENT,URGENTE
1-07601,,,ייקרא   אוּרזֶ'נְטִה
1-07803,,,משפטים עם  זה..
1-07900,זה מאד דחוף,,É MUITO URGENTE
1-08000,"אני צריך אותו עכשיו, זה מאד דחוף",,"O PRECISO AGORA, É MUITO URGENTE"
1-08100,אני צריך אותו עכשיו כי זה מאד דחוף,,O PRECISO AGORA PORQUE É MUITO URGENTE
1-08101,,,"המילה PORQUE שבאה כאן במובן ""כי"" תיכתב מחובר, ותשמור, כמובן, על הדגש.(הערה=בעברית קלוקלת אומרים במקום ""כי"" ""למה ש.."" – זה בא כנראה מספניולית)"
1-08102,,,"המילה ""יש לך"" שימושית לנו מאד.."
1-08200,יש לך,,TEM
1-08202,,,ומילה קטנה אך חשובה..
1-08300,מה,,QUE
1-08303,,,ובמשפט שאלה קצר וקצת אישי..
1-08400,מה יש לך ?,,QUE TEM ?
1-08401,,,ומשפט יותר נחמד...
1-08500,מה יש לך עבורי עכשיו ?,,QUE TEM PARA MIM AGORA ?
1-08501,,,ועוד משפטים...
1-08900,אין לך את זה בשבילי עכשיו ?,,NÃO O TEM PARA MIM AGORA ?
1-08901,,,"פעמיים המילה PORQUE , בכל פעם במובן אחר – פעם ""למה"" ופעם ""כי"""
1-08902,למה אין לך את זה בשבילי כי אני צריך את זה עכשיו,,"POR QUE VOCÊ NÃO TEM PARA MIM, POR QUE EU O PRECISO AGORA ?"
1-09100,,,ושוב לרצונות...
1-09101,אני רוצה אותו עכשיו,,O QUERO AGORA
1-09102,,,"יכול להיות גם במובן ""אוהב"".."
1-09103,,,"אתה רוצה, את אוהב.."
1-09300,אתה רוצה,,QUER
1-09301,,,ובשאלה...
1-09401,מה אתה רוצה ?,,QUE QUER ?
1-09500,אתה רוצה אותו ?,,VOCÊ O QUER ?
1-09501,,,ומשפט מתוחכם..
1-09600,למה אתה לא רוצה אותו כך?,,POR QUE VOCÊ NÃO QUER ASSIM ?
1-09701,לדעת,,SABER
1-09702,,,וכשהפועל שני ומעלה..
1-09800,אני רוצה לדעת,,QUERO SABER
1-09801,,,ובשלילה..
1-09802,אני לא רוצה לדעת,,NÃO QUERO SABER
1-09901,,,ומשפט מתוחכם..
1-10000,אני רוצה לדעת למה אין לך את זה בשבילי עכשיו,,QUERO SABER POR QUE VOCÊ NÃO O TEM PARA MIM AGORA ?
1-10100,,,"עכשיו נלמד 2  פעלים מאד שימושיים, ומאד חריגים, כפי שעוד נראה :"
1-10101,,,"הפועל הראשון הוא ""להיות מסוגל"" (איל פועל כזה בעברית)"
1-10102,להיות מסוגל,,PODER
1-10103,,,נזכיר – זה המקור  של - POWER  = כח
1-10104,,,"גוף ראשון הווה, כמו שלמדנו, מסתיים ב""O"" (כאן יש גם יוצא מהכלל)"
1-10200,אני יכול,,POSSO
1-10300,אתה יכול,,PODE
1-10400,,,"הפועל השני הוא ""לעשות"""
1-10401,לעשות,,FAZER
1-10404,לעשות כך,,FAZER ASSIM
1-10405,,,דוגמא עם הפועל בשמו בגלל שהוא שני במשפט..
1-10600,מה אתה רוצה לעשות עכשיו?,,QUE VOCÊ QUER FAZER AGORA ?
1-10601,,,"מכאן לכלל הדגשה שני : כאשר יש לנו מילה שמסתיימת  בעיצור, (כמו R) ההדגש יהיה תמיד על ההברה האחרונה – (יש מספר קטן מאד של יוצאים מן הכלל שנתעסק בהם מאוחר יותר) – מכאן ש בכל הפעלים שנגמרים ב R , ההדגשה תהיה על ההברה האחרונה."
1-10602,,,אמרנו שבגלל שנגמרים ב R בכל הפעלים ההדגשה היא על ההברה האחרונה - כמה דוגמאות..
1-10700,לאכול,,COMER
1-10701,,,המילה מסחר=COMERSE באה מכאן
1-10800,לשתות,,BEBER
1-10900,לעוף,,VOAR
1-11000,לרצות,,QUERER
1-11002,לאהוב,,AMAR
1-11200,להקשיב,,OUÇAR
1-11300,להיות זקוק,,PRECISAR
1-11301,,,נתאמן מעט בהדגשות :
1-11302,,,אמרנו מילים שמסתיימות בתנועה – ההדגשה היא על ההברה הלפני אחרונה – כמה דוגמאות..
1-11400,משהו,,ALGO
1-11500,אני רוצה משהו,,QUERO ALGO
1-11600,יש לי משהו עבורך,,TENHO ALGO PARA VOCÊ
1-11700,אני רוצה לאכול,,QUERO COMER
1-11800,אני רוצה לאכול משהו עכשיו,,.QUERO COMER ALGO AGORA
1-11900,,,שימושים נוספים של    TENHO
1-11901,רעב,,FOME
1-12102,,,אבל כפי שאמרתי לעיל..
1-12200,אני רעב (יש לי רעב),,TENHO FOME
1-12202,,,ובמשפט יותר מורכב..
1-12300,אני רוצה לאכול משהו עכשיו כי אני רעב,,QUERO COMER ALGO AGORA PORQUE TENHO FOME
1-12400,,,בדומה :
1-12401,אני צמא,,TENHO SEDE
1-12402,,,נזכור ש..
1-12500,לשתות,,BEBER
1-12501,,,ובמשפט יותר מורכב..
1-12600,אני רוצה לשתות משהו כי אני צמא,,QUERO BEBER ALGUMA COISA PORQUE TENHO SEDE
,,,שימו לב – במקום ALGO = משהו אמרנו ואמרנו  ALGUMA COISA= איזה שהוא דבר..
1-12601,,,עוד משפטים באותו הנושא...
1-12700,מה אתה רוצה לאכול ?,,QUE QUER COMER ?
1-12800,האם אתה רעב?,,TEM FOME ?
1-12900,"אתה רעב, אתה רוצה לאכול משהו עכשיו ?",,"VOCÊ ESTÁ COM FOME, VOCÊ QUER COMER ALGO AGORA ?"
1-12901,,,שימו לב שבמקום  TEM FOME אמרנו  ESTA COM FOME שזה אותו הדבר ..
1-13100,אני לא רוצה לאכול כי אני לא רעב עכשיו,,NÃO QUERO COMER PORQUE NÃO ESTOU COM FOME AGORA
1-13200,"אתה צמא , אתה רוצה לשתות משהו ?",,"VOCÊ TEM SEDE, QUER BEBER ALGUMA COISA ?"
