מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
4-05301,,,בשני המקרים רואים שאחרי כל ההטיות של הפול IR = ללכת בא A המציין את כיוון העשייה ו/או ההליכה...
4-05302,,,ועכשיו לנושא אחר..
4-05400,סרט,,FILME
4-05402,קולנוע,CINEMA,CINEMA
4-05403,אני הולך לראות את הסרט אתך הלילה,,VOU A VER O FILME COM VOCÊ ESTA NOITE
4-05404,,,או
4-05405,אני הולך לראות סרט אתך הלילה,,VOU A VER UM FILME COMTIGO ESTA NOITE
4-05406,,,או
4-05500,אתה יכול לבוא הלילה לראות איתי סרט,,VOCÊ PODE VIR ESTA NOITE PARA VER UM FILME COMIGO ?
4-05501,,,"או בקיצור, אחרי שכל הנוכחים יודעים במה מדובר.."
4-05600,אתה יכול לבוא לראות אותה,,VOCÊ PODE VIR ESTA NOITE PARA VER UM FILME COMIGO ?
4-05700,,,"ללכת   בפורטוגזית זה   IR   – מאד יוצא דופן, בהטיות  VOY ו VA בא מהשורש הלטיני   VADRE    כמו ב     QUO VADIS   -"
4-05701,,,ניזכר - ההטייה בהווה של הפועל IR
4-05702,הטיות הווה לפועל IR  = ללכת,,"VOU, VAIS, VAI, VAMOS, …, VÃO"
4-05703,,,אם נרצה להגיד :,
4-05800,אני רוצה ללכת לראות את זה אתך(אדון),,QUERO IR A VER ISSO COM VOCÊ
4-05801,,,"גם כאן הפועל IR בא שני, לכן הוא מופיע לא בהטייה, אלא בשמו המקורי.."
4-05802,,,או..
4-06000,אני מוכרח ללכת לראות אותו,,TENHO QUE IR A VERLO
4-06001,,,"ומשפט נוסף עם ""אני חייב""   TENHO QUE"
4-06100,אני מוכרח לדבר אתך,(חברי),,TENHO QUE FALAR COMTIGO
4-06103,,,"משפט ארוך – בחלקו הראשון הווה ובחלקו השני, אחרי מילת הקישור   PORQUÉ  –  עתיד קרוב"
4-06300,אני מצטער אבל איני יכול לראותך היום כי אני הולך להיות מאד עסוק,,"DESCULPE, MAS NÃO POSSO VER-TE HOJE PORQUE ESTOU MUITO OCUPADO"
4-06301,,,ולעניינים אחרים...
4-06400,ספר,,LIVRO
4-06401,,,זוכרים – מאד חשוב לתיירים ?
4-06500,לקנות,,COMPRAR
4-06600,אני מוכרח לקנות את הספר,,TENHO QUE COMPRAR O LIVRO
4-06601,,,המשך המשפט..
4-06700,אבל אני לא יכול לקנות אותו כי הוא מאד יקר,,MAS NÃO POSSO COMPRAR-LO PORQUE É  MUITO CARO
4-06701,,,וביחד..
4-06800,אני מוכרח לקנות את הספר אבל אני לא יכול לקנות אותו כי הוא מאד יק,,TENHO QUE COMPRAR O LIVRO MAS NÃO POSSO COMPRÁ-LO PORQUE É MUITO CARO
4-06801,,,"בשתי הפעמים שהמילה  COMPRAR מופיעה, הוא פועל שני לכן הוא מופיעה בשמו, ללא הטייה – בפעם השנייה צמוד לו המושא LO שמרמז על ספר.."
4-06802,,,"גם וגם, המשפט הארוך מורכב משלושה משפטים קצרים המחוברים במילות קישור  MAS ו PORQUE"
4-06900,,,שאלות חשובות :
4-06901,איפה זה ?,,ONDE ESTÁ ISSO ?
4-06902,,,"בשאלה הזו נשתמש לדברים שהמיקום שלהם זמני – מישהו או מישהי, רכב, מוצר בסופר וכו' -(ESTAR זה ""להיות"" עכשיו, באופן זמני)"
4-07000,כמה זה ?,,QUANTO É ?
4-07001,,,"שאלה זו מתייחסת למחירים שפעם היו כנראה קבועים...(SER זה ""להיות"" באופן קבוע)"
4-07002,,,ניזכר שלפגוש או למצא זה..
4-07200,למצוא,,ENCONTRAR
4-07201,,,ובמשפט..
4-07202,אני לא יכול למצוא את זה,,EU NÃO POSSO ENCONTRAR-LO
4-07203,,,"ניזכר שאם הפועל ב א שני, כמו ENCONTRAR , המושא LO  יבוא אחריו ומחובר אלי כשהפועל מופיע במקור – שם הפועל"
4-07204,,,וניזכר שלפועל SABER יש גוף ראשון הווה אנומליה – יהיה    SEI    ולא עם סיומת O כרגיל
4-07400,אני לא יודע איפה זה,,NO SEI ONDE ESTÁ
4-07404,,,ושוב נתעסק בפעלים כי זה עמוד השדרה של כל שפה ..
4-07500,לדבר,,FALAR
4-07601,,,"ניזכר שכשפועל בא לבד (או ראשון) המושא, כמו LO בא לפני ההטייה שלו – במקרה זה גוף ראשון יחיד הווה"
4-07602,אני קונה את זה,,EU O COMPRO
4-07603,,,ובשלילה..
4-07604,אני לא קונה את זה,,EU NÃO O COMPRO
4-07701,,,ומילה לא פחות חשובה לתייר...
4-07800,למכור,,VENDER
4-07802,,,ובהטייה (אני מוכר ) כשהמושא לפניו..
4-07900,אני מוכר את זה,,EU O VENDO
4-07901,,,ובשלילה..
4-08000,אני לא מוכר את זה,,NÃO O VENDO
4-08001,,,ועכשיו לתובנות...
4-08100,להבין,,COMPREENDER
4-08101,,,או ..
4-08200,להבין (יותר לעומק),,ENTENDER
4-08300,אני מבין,,COMPRENDO
4-08301,,,או ..
4-08302,אני מבין,,ENTENDO
4-08400,אני מבין את זה היטב,,O COMPREENDO MUITO BEM
4-08401,,,ובשלילה..
4-08500,אני לא מבין את זה כל כך טוב,,NÃO O COMPREENDO MUITO BEM
4-08501,,,או אם פונים אליך ישירות....
4-08700,אני לא מבין אותך (חבר),,NÃO TE COMPREENDO
4-08701,,,ושאלות שנישאל שוב ושוב..
4-08800,אתה מבין?,,COMPREENDES ?
4-08801,,,או...
4-08801,אתה מבין את זה ,,O COMPREENDES
4-08802,,,מוכרחה להיות סיבה – נשאל עליה...
4-09000,למה אתה לא מבין את זה ?,,POR QUE NÃO O COMPREENDES ?
4-09001,,,ושוב שאלה שנשאל מקומיים...
4-09100,אתה מבין אותי ?,,ME COMPREENDE ?
4-09101,,,"ונשאל שוב, אבל הפעם שמתי עצמי במרכז..."
4-09102,למה אתה לא מבין אותי ?,,POR QUE NÃO ME COMPREENDES ?
4-09200,,,כפי למדנו ש.. למכור זה VENDER
4-09201,אני מוכר את זה ,,O VENDO
4-09202,,,ובשלילה...
4-09203,אני לא מוכר את זה,,NÃO O VENDO
4-09204,,,ואם זה אתה...
4-09205,אתה מוכר את זה,,O VENDES
4-09401,,,ובמשפט שאלה..
4-09500,למה אתה לא מוכר את זה?,,POR QUE NO O VENDES ?
4-09501,,,"כנראה שזו מורשת משפחתית, אעלק..."
4-09600,לכתוב,,ESCREVER
4-09700,הטיות הפועל ESCREVER בהווה,,"ESCREVO , ESCREVES , ESCREVE , ESCREVEMOS , …, ESCREVEM"
4-09701,,,ואמירה אישית...
4-09801,,,ותשובות אפשריות...
4-09802,אתה כותב לי,,ME ESCREVES
4-09900,אני כותב כל יום,,ESCREVO TODOS OS DIAS
4-10000,אני כותב לך כל יום,,TE ESCREVO TODOS OS DIAS
4-10001,,,"כאשר, כפי כבר אמרנו..."
4-10100,"כל יום, כל הימים",,TODOS LOS DIAS
4-10101,,,"ועכשיו, לגמרי משהו אחר..."
4-10200,,,ביטוי מאד שימושי :
4-10201,מוצא חן בעיני,,EU GOSTO DISSO
4-10202,,,"שם הפועל הוא GUSTAR = לטעום – כלומר – טעים לי – אבל זה נאמר לא רק על אוכל, אלא גם על אנשים ומעשים..."
4-10203,,,"משפטים עם ""מוצא חן בעיני"""
4-10300,מוצא חן בעיני לראות אותו,,GOSTO DE VER-LO
4-10400,מוצא חן בעיני לראות אותך אדוני,,GOSTO DE VER VOCÊ
4-10401,,,ומשפט משלים אבל הפוך..
4-10500,אבל אני לא אוהב לעשות את זה,,MAS EU NÃO GOSTO DE FAZER ISSO
4-10501,,,ובמשפט אחד..
4-10600,מוצא חן בעיני לראות אותו  אבל זה לא מוצא חן בעיני לעשות את זה,,GOSTO DE VER-LO MAS EU NÃO GOSTO DE FAZER-LO
4-10601,,,והתחכמות קטנה..
4-10700,אני אוהב ללכת לראות את זה,,GOSTO DE IR A VER ISSO
4-10701,,,"כאן הפועל    IR   = ללכת הוא שני לכן מופיע בשמו, אבל כשהוא ראשון אז.."
4-10800,אני הולך לראות את זה,,VOU A VER-LO
4-10801,,,"שימו לב – יכול להיות מילולים – כלומר, ""אני הולך אליו ע""מ לראות אותו"", או עתיד קרוב – I AM GOING TO SEE HIM"
4-10802,,,"נמשיך עם ""מוצא לי חן"".."
4-10900,אני אוהב מאד לכתוב,,GOSTO MUITO DE ESCREVER
4-10901,,,ואציין שוב - הפועל השני  ( ESCRIBIR )  מופיע בשמו כמו גם בעברית  –  מוצא חן בעיני מאד לכתוב
4-10902,,,זה תופס גם לגופים אחרים..
4-11000,מוצא חן בעיניך,,VOCÊ GOSTA
4-11001,,,ובשאלה נפוצה...
4-11101,מוצא חן בעיניך ?,,VOCÊ GOSTA ?
4-11102,,,והתשובה לזה...
4-11203,"כן, מוצא חן בעיני !",,"SIM, EU GOSTO"
4-11204,,,או בשלילה..
4-11300,"לא, זה לא מוצא חן בעיני",,"NÃO, NÃO GOSTO"
4-11301,,,משתמשים בפועל הזה גם כמשפט נימוסי בפגישה ראשונה..
4-11400,נעים מאד להכיר אותך,,MUITO PRAZER EM CONHECER VOC Ê
),,,"במשפטים הבאים נשתמש בפועל ""לכתוב"" , לכן נראה שוב את ההטיות שלו..."
4-11500,הטיות הווה לפועל ESCREVER    = לכתוב ,,"ESCREVO , ESCREVES , ESCREVE , ESCREVEMOS, … ' ESCREVEM"
4-11501,,,שאלה לגיטימית לאדון מסוים...
4-11600,"למה אתה לא כותב לי, אדוני",,"PORQUE NÃO ME ESCREVE, SENHOR ?   "
4-11601,,,"או לחבר, פדרו..."
4-11700,"למה אתה לא כותב לי, פבלו",,"PORQUE NÃO ME ESCREVES, PABLO ?"
4-11701,,,זוכרים את הפועל SABER ? זה שבגוף ראשון הווה הוא חריג – SEI ...
4-11702,,,אבל כל הגופים האחרים רגילים...
4-11800,אתה יודע ? (חבר),,¿ SABES ?
4-11900,,,ההטייה של הפועל SABER  בהווה
4-11900,הטיות הווה לפועל SABER  = לדעת,,"SEI , SABES , SABE , SABEMOS , …, SABEM"
4-11901,,,"ושאלת תיירים (מבוגרים בד""כ) נפוצה.."
4-12000,אתה יודע איפה זה ?,,VOCÊ SABE ONDE É ?
4-12001,,,"והנשאל כנראה לא יודע, יענה.."
4-12002,אני לא יודע (את זה),,NÃO  O SEI …
4-12003,,,והמשך טבעי של מתחכמים...
4-12100,למה אינך יודע את זה?,,PORQUE VOCÊ NÃO O SABE ?
4-12101,,,"זוכרים, לעשות   זה   FAZER   = לעשות"
4-12102,,,גוף ראשון הווה יוצא מן הכלל ויהיה .....
4-12103,אני עושה,,FAÇO
4-12104,,,ושאלה מרגיזה..
4-12200,למה אתה לא עושה את זה ?,,PORQUE NÃO O FAZES ?
4-12201,,,ועכשיו נתעסק בפועל נפוץ נוסף...
4-12300,"לעזוב, לצאת",,SAIR
4-12301,,,וההטיות..
4-12400,הטיות הפועל SALIR,,"SAIO , SAIS , SAI , SAIMOS , …, SAEM"
4-12500,באיזה שעה אתה עוזב (מנומס),,A QUE HORAS VOCÊ SAI ?
4-12501,,,והתשובה לא איחרה לבוא..
4-12600,אני הולך  לעזוב עכשיו (הווה מיידי),,ESTOU SAINDO AGORA
4-12601,,,"ואם נרצה להגיד שזה יקרה בקרוב, אפשר להשתמש בעתיד הקרוב.."
4-12700,אני הולך לעזוב הלילה,,VOU A SAIR ESTA NOITE
4-12701,,,או בהווה..
4-12800,,,SAIO ESTA NOITE
4-12801,,,נתרגל פועל נפוץ אחר   HACER   = לעשות
4-12900,מה אתה עושה היום ?,,QUĖ FAZES  HOJE ?
4-12901,,,או שאלה יותר אינטימית..
4-13000,מה אתה/את עושה כרגע ?,,QUE ESTÁ FAZENDO AGORA
4-13001,,,או קצת בעתיד (הקרוב) ...
4-13100,מה אתה הולך לעשות עכשיו ? - חברי,,QUE VAIS FAZER AGORA ?
4-13200,,,ולפועל נפוץ נוסף – לכתוב = ESCRIBIR
4-13300,מה אתה כותב ?,,QUE ESCREVES  ?
4-13301,,,או יותר מנדנד...
4-13400,מה אתה כותב עכשיו,,QUE ESCREVES AGORA  ?
4-13401,,,"אמרנו ש""להגיד""   זה   DECIR    והוא שייך ל    GO-GO VERBS  (נלמד בעתיד) כלומר הגוף הראשון יחיד הווה הוא..."
4-13500,אני אומר,,DIGO
4-13501,,,"כמו שאמרנו, יתר הגופים נורמליים.."
4-13600,מה אתה אומר ? ,,QUE DIZES ?
4-13700,,,"כמו שכבר ראינו המילה   ""מה""   או ""איזה ""   זה...."
4-13701,מה  או  איזה,,QUĖ
4-13702,,,"הרכב מעיין, לא רק שמופיעים יחד אלא גם אומרים אותם בנשימה אחת – ""זה ש"""
4-13800,זה ש..,,O QUĖ
4-13801,,,מבוטא כמילה אחת –OQUĖ     (כמו אָשֶרְקֶה)
4-13802,,,ובמשפט מייצג..
4-13900,אני מצטער אבל איני מבין את מה שאתה אומר,,"DESCULPE, MAS EU NÃO ENTENDO O QUE VOCÊ DIZ"
4-13901,,,אמנם אפשר גם :
4-14000,אני מצטער אבל איני מבין מה שאתה אומר,,"DESCULPE, MAS EU NÃO ENTEND QUE VOCÊ DIZ"
4-14001,,,ודוגמאות נוספות..
4-14100,אני לא יודע מה שאתה רוצה,,NÃO SEI O QUE VOCÊ QUER
4-14200,זה לא מה שאני רוצה,,NÃO É O QUE EU QUERO
4-14201,,,ובאופן כללי...
4-14300,מה אתה רוצה ?,,QUE QUERES ?
4-14301,,,אפשר למשל לשאול...
4-14400,מה אתה רוצה להגיד ?,,QUE QUERES DIZER ?
4-14401,,,"ואחרי שקיבלנו תשובה קצת מעורפלת, אפשר  להגיד.."
4-14500,אני לא מבין היטב מה אתה מתכוון,,NÃO ENTENDO MUITO BEM O QUE VOCÊ QUER DIZER
4-14501,,,או לבוא בטענות לבן שיחי...
4-14600,אתה לא מבין את מה אני מתכוון,,VOCÊ NÃO ENTENDE O QUE QUERO DIZER
4-14601,,,"ואחרי הרמת הגבה של בן-שיחי, אגיד....."
4-14700,בגלל שזה לא מה שאני מתכוון,,PORQUE NÃO É O QUE EU QUERO DIZER
4-14701,,,"אמרנו כבר ש""לדבר"" זה       FALAR"
4-14800,אני מדבר,,FALO
4-14801,,,ולהתכונן   זה   PREPARAR
4-14900,אני מכין אותו,,O PREPARO
4-14901,,,אבל אליה וקוץ בה..
4-15000,"אבל אני לא מקבל את זה, (זה לא מקובל עלי )",,MAS EU NÃO ACEITO
4-15002,,,וביחד :
4-15100,אני מכין את זה אבל אני לא מקבל את זה,,EU LO PREPARO MAS EU NÃO ACEITO-LO
4-15101,,,אפשר להגיד גם..
4-15200,אני מכין את זה אבל זה לא מקובל עלי,,"EU O PREPARO, MAS NÃO ESTÁ ACEITÁVEL PARA MIM"
4-15201,,,ועכשיו כמה הסברים לפעליים רגילים בזמן הווה :
4-15202,,,"יש לנו 3 סיומות של פעלים AR ER , או   IR"
4-15203,,,"נחלק אותם לשני מסלולים, שתי קבוצות עם כללים דומים, במקום שלוש , כי    ER  ו   IR   מתנהגים   דומה"
4-15203,,,"מסלול ה "" ""AR  –  שיכלול רק סיומת   AR    COMPRAR  -   , FALAR CHEGAR, ,    CONFIRMAR"
4-15204,,,"מסלול ה ""לא ""AR  –  שיכלול את הסיומות ER ו IR  –  FAZER, SAIR, COMPREENDER ,  VIR   COMER"
4-15205,,,"בשני המסלולים, לגוף ראשון,  נדגיש את ההברה הלפני אחרונה ונבטא בבירור את ה""O"" בהברה האחרונה , כמו ב PREPARO, COMPREENDO, ACEITO"
,,,ההבדל הוא בגופים הבאים..
4-15206,,,"עבור   מסלול ה """"AR  -   AR      לגוף שני ושלישי , אחרי הדגשה של הברה לפני אחרונה, ""נצוף"" תמיד עם  "" A ""  ,  גוף ראשון רבים ייגמר כמובן ב AMOS וגוף שלישי רבים ב AM"
4-15207,,,"עבור   מסלול ה ""לא ""AR  -   ER   ו  IR     , לגוף שני ושלישי , אחרי הדגשה של הברה לפני אחרונה, ""נצוף"" תמיד עם  "" E ""    גוף ראשון רבים ייגמר כמובן ב EMOS וגוף שלישי רבים ב EM",
4-15208,,,"דוגמאות לקבוצת ה-לא ""AR "".."
4-15300,אתה מבין,,COMPREENDES
4-15400,הוא עוזב,,ELE SAI
4-15500,הוא אומר,,ELE DIZ
4-15600,אתה (אדני) עושה,,VOCÊ FAZ
4-15700,הוא כותב,,ELE ESCREVE
4-15701,אנחנו אוכלים,,COMEMOS
4-15702,הם כותבים,,ELES ESCREVEM
4-15703,,,"דוגמאות לקבוצות ""AR"""
4-15900,אתה מכין,,VOCÊ PREPARA
4-16000,אתה מקבל את זה ?,,VOCÊ ACEITA-LO ?
4-16100,אתה מדבר אנגלית?,,FALA INGLÊS ?
4-16101,אנחנו מדברים,,FALAMOS
4-16102,הם מקבלים,,ACEITAM
