מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
6-02702,להבין (את המשמעות),,ENTENDER
6-02703,,,"וכמו בפועל רגיל , גוף ראשון יחיד הווה מקבל ""O"" ותו לא..."
6-02800,אני מבין,,COMPREENDO
6-02801,,,או להבין לעומק..
6-02900,אני מבין,,ENTENDO
6-02901,,,"שימו לב שהפועל הזה ""כמעט"" רגיל, אלא שה-E נשבר ל-IE"
6-02902,"אני לא מבין אותו, את זה",,NÃO LO ENTENDO
6-02903,,,או..
6-03000,אני לא מבין את זה,,NÃO ENTENDO ISSO
6-03100,,,ואותו הדבר לחבר...
6-03200,אני לא מבין אותך רוברטה,,NÃO TE ENTENDO ROBERTA
6-03201,,,"אבל, באותה המידה לגיטימי לשאול את בן שיחנו.."
6-03300,האם אתה מבין אותי ?,,VOCÊ ME ENTENDE ?
6-03301,,,"ואם מדברים אלינו (כקבוצה) ואנחנו לא מבינים, נוכל להגיד.."
6-03500,אנחנו לא מבינים,,NÃO ENTENDEMOS
6-03502,,,"ועכשיו, נושא אחר – רצונות.."
6-03600,"לרצות, לאהוב",,QUERER
6-03601,,,וההטיות של זה..
6-03700,הטיות הווה של הפועל QUERER,,"QUERO , QUERES, QUER , QUEREMOS , … , QUEREM"
6-03701,,,למשל בLADINO   זה KERO – כי במאה ה-15 עוד לא ייבאו את ה QU במקום K מהצרפתים ..
6-03704,,,"אבל הצרות לא נגמרו -  דוגמא נוספת, חברנו המוכר   PODER"
6-03800,הטיות הווה של הפועל PODER,,"POSSO , PODES , PODE , PODEMOS , … , PODEM"
6-03900,,,"אגב, הכח זה... EL PODER      דומה ל   POWER    באנגלית"
6-03901,,,פועל נוסף  …
6-04000,"למצוא, לפגוש",,ENCONTRAR
6-04100,הטיות הווה של הפועל ENCONTRAR,,"ENCONTRO , ENCONTRAS , ENCONTRA , ENCONTRAMOS, …, ENCONTRAM"
6-04101,,,ובמשפט קצר..
6-04200,אני לא מוצא את זה,,NÃO ENCONTRO ISSO
6-04300,,,"לזכור  זה  RECORDAR   (הטייפ-רקורדר ""זוכר"" את מה שמקליטים עליו)"
6-04400,הטיות הווה של הפועל RECORDAR,,"RECORDO , RECORDAS , RECORDA, RECORDAMOS, … , RECODAM"
6-04500,לחזור,,לחזור  זה  VOLTAR
6-04600,הטיות הווה של הפועל VOLTAR,,"VOLTO, VOLTAS, VOLTA, VOLTAMOS, .., VOLTAM"
6-04700,אני חוזר בקרוב,,VOLTO EM BREVE
6-04701,,,ושאלה מתבקשת...
6-04800,מתי אתה חוזר ?,,A QUE HORAS VOLTAS ?
6-04801,,,עוד משפטים עם הפועל הזה..
6-04900,הם חוזרים ?,,VOLTAM ?
6-05000,את חוזרת רוברטה,,VOLTAS ROBERTA ?
6-05100,אנחנו חוזרים בקרוב,,VOLTAMOS EM BREVE
6-05101,,,ופועל אחר...
6-05400,להרים,,LEVANTAR
6-05401,,,"הערה : מכאן המילה ""ארצות הלבנט"" – הכוונה הייתה לארצות ששם מרימה את עצמה השמש"
6-05605,,,"אבל, אם הפועל הוא ראשון/בודד ובא בהטייה, המושא שהופך אותו להתפעל בא לפניו – לדוגמא..."
6-05607,הוא מתעורר או קם,,LEVANTAR-SE
6-05608,,,וגוף ראשון ...
6-05800,אני קם,,ME LEVANTO
6-05802,,,"שפירושו לקום בבוקר מהמיטה, אני מקים עצמי..."
6-05803,,,"כל המושאים ששייכים להתפעל הם – ME , TE , SE , NOS , …, SE -"
6-05804,,,"אבל אם הפועל בא שני והלאה, נוהגים כמו עם כל המושאים.."
6-05900,אתה יכול להעיר אותי ?,,PODE LEVANTAR-ME?
6-05901,,,או..
6-06100,אתה יכול להעיר אותנו?,,PODE LEVANTAR-NOS
6-06101,,,אפשר לשלב את השימוש של כינויי הגוף עם מושאי ההתפעל – למשל...
6-06102,אנחנו קמים,,NOS LEVANTAMOS
6-06104,,,שימושים נוספים בהתפעל...
6-06200,"רוברטו, אתה קם",,"ROBERTO, TE LEVANTAS ?"
6-06300,"באיזה שעה את קמה, רוברטה ?",,"QUE HORAS TE LEVANTAS, ROBERTA ?"
6-06400,הוא קם,,SE LEVANTA
6-06500,באיזה שעה אתה קם ?,,QUE HORAS SE LEVANTA ?
6-06600,באיזה שעה הם קמים ?,,QUE HORAS SE LEVANTAM ?
6-06700,הם קמים מוקדם,,SE LEVANTAM EM BREVE
6-06701,,,ושילוב עם עתיד קרוב...
6-06800,אני הולך לקום מוקדם,,VOU LEVANTAR-ME EM BREVE
6-06801,,,או...
6-06900,אני מוכרח לקום מוקדם,,TENHO QUE LEVANTAR-ME EM BREVE
6-06901,,,או..
6-07000,אנחנו הולכים לקום מוקדם,,VAMOS LEVANTAR-NOS EM BREVE
6-07001,,,או...
6-07100,אנחנו מוכרחים לקום,,TEMOS QUE LEVANTAR-NOS
6-07200,באיזו שעה אנחנו צריכים לקום ?,,A QUE HORAS TEMOS QUE LEVANTAR-NOS ?
6-07002,,,ועוד פועל מתאים להתפעל..
,להישאר,,FICAR
6-07500,,,ובכל הגופים בהווה ....
6-07501,הטיות הווה של הפועל FICAR,,"FICO, FICAS, FICA, FICAMOS, …, FICAM"
6-07801,,,ומשפט שלם...
6-07900,אני לא יודע כמה זמן אני נשאר,,NÃO SEI QUANTO TEMPO EU FICO
6-07901,,,או בעתיד קרוב..
6-08000,אני לא יודע כמה זמן אני הולך להישאר,,NÃO SEI QUANTO TEMPO VOU FICAR
6-08001,,,או..
6-08100,אני לא יודע כמה זמן אני יכול להישאר,,NÃO SEI QUANTO TEMPO POSSO FICAR
6-08101,,,בשילוב עם עתיד קרוב..
6-08300,אנחנו הולכים להישאר כאן כמה ימים,,VAMOS FICAR AQUI POR ALGUMAS DIAS
6-08801,,,נגדיר את הקהל..
6-08900,האנשים,,A GENTE
6-09000,הרבה אנשים,,MUITA GENTE
6-09001,,,"ועכשיו נשתמש בנ""ל.."
6-09100,יש כאן הרבה אנשים,,TEM MUITAS PESSOAS AQUI
6-09101,,,"או, שימוש יומיומי..."
6-09200,"מה קורה, מה יש לך ?",,QUE HAY ?
6-09201,,,אפשר להגיד גם ...
6-09202,"מה קורה, מה יש לך ?",,QUE PASA?
6-09203,,,או שימוש נוסף...
6-09300,אין בעיה,,NO HAY PROBLEMA
6-09400,,,"אמרנו שלהיות חייב זה  TENER QUE    וההטיות  שלו,   אלא שאפשר להגיד גם.."
6-09401,מה היה ?,,QUE FOI ?
6-09402,,,או...
6-09401,מה יש  חדש ?,,CHE HÁ DE NOVO ?
6-09401,,,או...
6-09401,מה קרה ?,,QUE ESTÁ ACONTECENDO ?
6-09501,,,"כשמדובר באופן כללי, לא קשור לזמן מסוים..."
6-09502,,,למשל :
6-09700,אני צריך (מוכרח) ללכת לים,,TENHO QUE IR AL MAR
6-09701,,,"לעומת -  כשמדובר באופן כללי, לא קשור לזמן מסוים..."
,צריך (מתישהו) ללכת לים,,HAY QUE IR AL MAR
6-09703,,,חזרה קצרה על ההתפעל....
6-09900,אני לא יודע כמה זמן (אנחנו) הולכים להישאר כאן,, NÃO SEI QUANTO TEMPO VAMOS FICAR AQUI
6-09904,,,ומילה חדשה ומוזרה...
6-10000,עדיין,,AINDA
6-10001,,,למה מוזרה ? כי נראה שהתרגום המילולי הוא כל החיים...
6-10300,אני עדיין לא יודע כמה זמן אני הולך להישאר,,AINDA NÃO SEI QUANTO TEMPO VOU FICAR
6-10301,,,ועוד פועל מתאים להתפעל..
6-10400,לראות,,VER
6-10401,,,וההטיות בהווה...
6-10500,הטיות הווה של הפועל VER,,"VEJO, VÊS, VÊ, VEMOS, …, VÊEM"
6-10501,,,דוגמאות..
6-10600,אנחנו רואים אותו,,LO VEMOS
6-10700,אתה לא רואה את זה,,VOCÊ NO LO VE
6-10800,אני רואה,,VEJO
6-10900,הם רואים את זה,,LO VEM
6-10901,,,"ועכשיו ניזכר ב""התפעל"" ..."
6-10902,,,"זוכרים – מצמידים לשם הפועל את הסיומת SE ובמשפטים משתמשים במושאים ME , TE , SE , NOS ,…, SE..."
6-11000,להתראות,,VER-SE
6-11100,"אנחנו מתראים, (אנחנו רואים את עצמנו)",,NOS VEMOS
6-11102,,,ובשלילה..
6-11200,אנחנו לא מתראים,,NÃO NOS VEMOS
6-11201,,,ואם נרצה לשאול בקשר למועד שנתראה מחר ...
6-11400,באיזו שעה אנחנו מתראים מחר ?,,A QUE HORAS VOCÊ QUER NOS  VEMOS AMANHÃ  ?
6-11401,,,ויותר מתוחכם..
6-11500,באיזו שעה אתה רוצה להתראות מחר ?,,A QUE HORAS VOCÊ QUER NOS  VEMOS AMANHÃ  ?
6-11501,,,אז מה סיכמנו למחר ?
6-11600,באיזה שעה אנחנו מתראים מחר ?,,A QUE HORAS VOCÊ QUER NOS  VEMOS AMANHÃ
6-11601,,,"ולנושא אחר – לפעמים, כשיש רמז במשפט שהאירוע מתרחש בעתיד הקרוב – אפשר להשתמש בהווה - דוגמאות.."
6-11700,אני מתקשר אליך מאוחר יותר,,TE CHAMO MAIS TARDE
6-11800,אני מתקשר אליך מחר,,TE CHAMO AMANHÃ
6-11801,,,"אפשר לשמוע פורטוגזים שמדברים בשפה אחרת, משתמשים בהווה לתיאור העתיד – אני מתקשר אליך מחר, אני בא אליך בשבוע הבא וכו' – כמו במשפט.."
6-11900,אראה אותך מחר,,E VEJO AMANHÃ
6-11901,,,כאשר ה MAÑANA נותן לזה את מימד העתיד...
6-12201,,,או בעתיד קרוב...
6-12400,אני הולך לקרא לך מחר,,EU VOU TE CHAMAR AMANHÃ
6-12401,,,נמשיך עוד קצת עם ההתפעל...
6-12402,,,בהווה...
6-12500,אנחנו נשארים (משאירים את עצמנו)  מספר ימים,,FICAMOS ALGUMAS DIAS
6-12501,,,או בעתיד קרוב...
6-12600,אנחנו הולכים להישאר כמה ימים,,VAMOS FICAR ALGUMAS DIAS
6-12601,,,דוגמא נוספת...
6-12700,באיזו שעה נתראה מחר,,QUE HORAS NOS ENCONTRAREMOS AMANHÃ
6-12800,באיזו שעה אנחנו הולכים להתראות מחר,,A QUE HORAS VAMOS NOS VER AMANHÃ  ?
6-12900,,,"ועכשיו נתעסק עם העתיד האמיתי ... (אגב, הוא פשוט מכל זמן אחר)"
6-12901,,,הסיומות של העתיד הרגיל ...
6-13000,הטיות הווה של הפועל HABER,,"EI, AS, A, EMOS,…, ÃO"
6-13002,,,"הפועל עצמו יבוא, ברוב המקרים המוחלט (אח""כ נראה את החריגים), בצורתו המלאה – שם הפועל..."
6-13003,,,דוגמאות לגוף ראשון יחיד..
6-13100,אוכל מאוחר יותר,,COMEREI MAIS TARDE
6-13200,אקנה את זה,,LO COMPRAREI
6-13300,אמכור את זה,,LO VENDEREI
6-13500,אני אקח את זה,,LO TOMAREI
6-13501,,,בגוף ראשון ברבים תהיה סיומת EMOS (כמו HEMOS)
6-13600,אנחנו ניקח את זה,,LO TOMAREMOS
6-13700,אני אתחיל,,COMENÇAREMOS
6-13900,אנחנו נאכל,,COMEREMOS
6-13901,,,נראה משפטים בזמן עתיד..
6-14000,אדבר אתך חבר,,FALAREI CONTIGO
,אדבר אתך אדוני,,FALAREI COM VOCÊ
6-14101,,,ELA FALARA CONTIGO AMANHÃ
6-14102,הם יאכלו ארוחת ערב בלילה הזה במסעדה סינית,,ELLI JANTARÃO ESTA NOITE EM UM RESRAURANTE CHINESE
6-14200,אנחנו נדבר,,FALAREMOS
6-14201,,,ונתאמן קצת..
6-14400,אקווה,,ESPERAREI
6-14500,נחכה,,ESPERAREMOS
6-14501,,,זה תופס גם על התפעל...
6-14600,להישאר,,FICAR
6-14700,אני נשאר,,ME FICO
6-14800,אני נשאר פה מחר,,ME FICO AQUI  AMANHÃ
6-14801,,,אבל עם בעתיד עסקינן...
6-14900,אני אשאר,,ME FICAREI
6-14901,,,"מי שקשה לו, יכול להשתמש בעתיד הקרוב.."
6-15000,אני הולך להישאר,,VOU A FICAR
