מפתח,בעברית,דומה באנגלית(אם יש),טקסטים להקלטה
5-07701,,,"שימו לב שכשמשתמשים ב    ISTO   ו   ISO    לא בא אחריהם שם עצם כי, כמו שנאמר, אנחנו לא יודעים איך קוראים לו או מה מינו – בדרך כלל מתלווה למשפט הצבעה עם האצבע.."
5-07900,אני רוצה לראות את ההוא,,QUERO VER ISO
,,,או...
,אני רוצה לקנות את זה,,QUERO COMPRAR ISTO
5-07901,,,"ועכשיו, שילוב של שני דברים שלמדנו – ""עתיד קרוב"" ו""זה"" "
5-08000,"אני הולך לקנות את זה – בד""כ מצביעים",,VOU A COMPRAR ESTO
5-08001,,,או...
5-08100,"רוצה לקנות את ההוא - בד""כ מצביעים",,QUERO COMPRAR ESSO
5-08200,למה אתה לא קונה את הספר הזה ?,,PORQUE VOCÊ NÃO COMPRA ESTE LIVRO ?
5-08201,,,"ונחזור על הנ""ל..."
5-08300,הלילה הזה,,ESTA NOITE
5-08301,,,"נזכור ש""לילה"" בפורטוגזית זה ממין נקבה "
5-08400,השולחן הזה,,ESTA TAVOLA
5-08401,,,"גם ""שולחן"" הוא ממין נקבה בפורטוגזית"
5-08500,הבית הזה,,ESTA CASA
5-08501,,,"וגם ""בית"" הוא ממין נקבה בפורטוגזית  "
5-08502,,,"וכמה דוגמאות ל""ההוא"" המרוחק (לא פה, שם..)"
5-08600    ,הבית ההוא,,ESSA CASA
5-08601,השולחן ההוא,,ESSA TAVOLA
5-08602    ,הלילה ההוא,,ESSA NOITE
5-08700,הספר ההוא,,ESSE LIVRO
5-08701,,," ו""זה"" כללי, כשלא  יודעים את שם/מין האוביאקט שמצביעים עליו..."
5-08900,הזה,,ISTO
5-08901,,,     או..
5-08902,,,ISO
5-08903,,,למשל...
5-09000,"אני רוצה לראות את זה - בד""כ מצביעים",,QUERO VER ISTO
5-09001,,,או..
5-09100,"אני הולך לקנות את זה - בד""כ מצביעים",,VOU A COMPRAR ISTO
5-09101,,,או..
5-09200,"רוצה לקנות את ההוא - בד""כ מצביעים",,QUERO COMPRAR ESSO
5-09201,,,או במשפט שאלה..
5-09300,למה אתה לא קונה את הספר הזה ?,,PORQUÉ NO COMPRAS ESTE LIVRO ?
5-09301,,,ונתקדם בהטיות....
5-09302,,,גוף ראשון רבים הווה יסתיים תמיד בסיומת MOS כמו המילה המוכרת VAMOS שמשמעותה – אנו הולכים...
5-09400,אנחנו מדברים,,FALAMOS
5-09600,אנחנו אוכלים,,COMEMOS
5-09601,,,עוד דוגמאות מפעלים שלמדנו...
5-09700,אנחנו עוזבים,,SAIMOS
5-09800  ,אנחנו באים,,VIMOS
5-09900,אנחנו מוכרים,,VENDEMOS
5-10000,אנחנו כותבים,,VIMOS
5-10100,יש לנו,,TEMOS
5-10200,אנחנו עושים,,FAZEMOS
5-10300,אנחנו עושים את זה,,LO FAZEMOS
5-10400,אנחנו לא עושים את זה,,NÃO LO FAZEMOS
5-10600,אנחנו אומרים לך (חבר),,NÓS TE DIZEMOS
5-10602,,,ובהזדמנות זו ניזכר שוב בהטיות IR (ללכת) בהווה פשוט...
5-10800,"הטיות הפועל IR - אני הולך, אתה הולך , הוא הולך , אנחנו הולכים , הם הולכים",,"VOU, VAIS, VAI, VAMOS, …,VÃO"
5-10801,,,"בהזדמנות זו גם ניזכר שאחרי כל הטיות הפועל IR יבוא תמיד כוון – ""ל"" או בפורטוגזית A"""" "
5-11000,הם הולכים ל...,,VÃO A….
5-11100,אנחנו הולכים ל...,,VAMOS A….
5-11200,אתה/את הולכת ל..,,VAIS  A…
5-11201,,,כמו במשפט הבא שמשתמשים בפועל כפעל עזר לעתיד קרוב...
5-11300,אנחנו הולכים לעזוב בקרוב,,VAMOS A SAIR EM BREVE
5-11301,,,"משתמשים ב A לא רק ב""ללכת"" אלא בפעלים נוספים שיש להם  כוון, כמו.."
5-11400,להגיע,,CHEGAR
5-11401,,,"דוגמא בה משתמשים ב A בשני השימושים הנ""ל.."
5-11500,באיזה שעה נגיע למדריד ?,,A QUE HORAS VAMOS A CHEGAR A LISBOA ?
5-11501,,,"או בהווה פשוט, היות ויש רמיזה לכך שהפעולה קורית בעתיד.."
5-11600,"באיזו שעה אנחנו מגיעים לליסבון ? (הערה – אם הפעולה תקרה בעתיד, אפשר להשתמש בהווה לתאר עתיד קרוב)",,A QUE HORAS CHEGAMOS A LISBOA ?
5-11601,,,וניזכר בשימושים של הפועל FAZER=לעשות...
5-11700,אנחנו עושים את זה,,LO FAZEMOS
5-11800,הם עושים את זה,,LO FAZEM
5-11900,"למה את לא עושה את זה, רוברטה?",,PORQUE NÃO LO FAZES ROBERTA ?
